Cost center number,Cost center name,Region,Cost category,timestamp,currency code,amount
5262,Research & Development,North America,Professional Services,2023-08-02 22:23:05,SGD,685570
6058,Sales Operations,Asia Pacific,Salaries,2023-08-01 21:21:21,ARS,879379
3054,Finance,North America,Travel,2023-08-01 02:10:50,JPY,127256
5537,Marketing Operations,Europe,Salaries,2023-08-01 04:40:22,USD,405586
6402,Research & Development,North America,Benefits,2023-08-01 18:18:18,ARS,539278
4304,Human Resources,North America,Software,2023-08-01 17:00:45,EUR,225653
7103,Marketing Operations,South America,Software,2023-08-03 17:48:29,USD,444770
1033,IT Infrastructure,North America,Salaries,2023-08-01 18:06:24,EUR,329338
8450,Sales Operations,Asia Pacific,Advertising,2023-08-03 12:49:32,JPY,50508
7896,Human Resources,North America,Salaries,2023-08-01 03:40:48,EUR,670684
1074,Sales Operations,South America,Hardware,2023-08-03 18:29:50,USD,51911
6871,IT Infrastructure,Europe,Hardware,2023-08-02 14:55:02,ARS,767953
8956,Finance,North America,Supplies,2023-08-03 17:56:32,ARS,243361
6940,Research & Development,South America,Hardware,2023-08-03 21:06:01,BRL,492700
5205,Sales Operations,Asia Pacific,Hardware,2023-08-02 07:08:37,SGD,717290
5543,Research & Development,North America,Advertising,2023-08-01 23:27:28,GBP,200810
2163,Sales Operations,South America,Commissions,2023-08-01 03:46:11,JPY,145628
7829,Sales Operations,Europe,Salaries,2023-08-02 14:38:27,BRL,516323
5392,Marketing Operations,North America,Supplies,2023-08-02 06:46:33,ARS,352428
6821,IT Infrastructure,North America,Salaries,2023-08-01 12:31:12,USD,267766
8704,Finance,Asia Pacific,Commissions,2023-08-02 08:39:53,GBP,108242
5971,Sales Operations,South America,Benefits,2023-08-02 00:28:58,ARS,878763
9011,Human Resources,North America,Supplies,2023-08-03 09:00:52,JPY,199138
5922,Human Resources,Europe,Advertising,2023-08-01 10:27:22,USD,519300
8302,Sales Operations,Asia Pacific,Benefits,2023-08-02 03:20:44,USD,534539
5076,Marketing Operations,Europe,Supplies,2023-08-02 19:35:24,USD,255416
6831,Finance,Asia Pacific,Software,2023-08-03 18:27:24,GBP,325493
5956,Marketing Operations,Asia Pacific,Professional Services,2023-08-02 01:58:28,ARS,260704
1519,Finance,Europe,Software,2023-08-01 20:56:12,SGD,673993
8660,IT Infrastructure,South America,Benefits,2023-08-01 16:12:20,ARS,217695
3725,Finance,South America,Travel,2023-08-01 10:48:43,SGD,667620
1297,IT Infrastructure,North America,Travel,2023-08-01 23:40:20,GBP,607523
7876,Sales Operations,South America,Commissions,2023-08-02 01:53:45,ARS,823251
7500,IT Infrastructure,Europe,Hardware,2023-08-02 17:16:27,SGD,643290
9941,Sales Operations,North America,Professional Services,2023-08-02 20:00:27,GBP,539831
1510,Sales Operations,Europe,Software,2023-08-03 01:20:06,ARS,845932
3346,Finance,South America,Travel,2023-08-03 03:30:53,BRL,664079
2622,Research & Development,South America,Hardware,2023-08-03 16:27:54,ARS,266365
9841,Marketing Operations,Asia Pacific,Supplies,2023-08-01 19:20:50,ARS,477186
7571,Sales Operations,Asia Pacific,Advertising,2023-08-03 22:08:37,SGD,38685
2214,Marketing Operations,South America,Supplies,2023-08-02 05:30:02,GBP,218041
6256,Human Resources,Asia Pacific,Salaries,2023-08-02 14:17:47,EUR,393592
7717,IT Infrastructure,North America,Supplies,2023-08-01 12:36:15,GBP,769499
8646,Human Resources,Europe,Advertising,2023-08-01 12:13:24,JPY,425983
8848,Finance,Europe,Salaries,2023-08-02 09:03:05,EUR,446256
4889,Marketing Operations,South America,Travel,2023-08-02 15:04:30,USD,988303
2854,IT Infrastructure,Asia Pacific,Travel,2023-08-03 09:53:24,GBP,406543
8689,IT Infrastructure,South America,Software,2023-08-01 01:29:58,USD,946871
3912,IT Infrastructure,South America,Hardware,2023-08-03 07:16:48,JPY,242365
8755,Finance,Europe,Hardware,2023-08-02 02:40:35,GBP,615403
7269,Sales Operations,North America,Professional Services,2023-08-03 15:29:29,GBP,331072
7411,Human Resources,Europe,Hardware,2023-08-02 21:37:53,GBP,345668
3527,Sales Operations,Europe,Supplies,2023-08-01 21:21:26,EUR,62252
8272,IT Infrastructure,North America,Supplies,2023-08-02 03:31:53,JPY,696571
9076,Human Resources,South America,Advertising,2023-08-03 05:00:15,BRL,125077
6650,Marketing Operations,Asia Pacific,Software,2023-08-02 04:37:19,BRL,816696
9432,Human Resources,North America,Salaries,2023-08-01 18:13:41,ARS,534243
7477,IT Infrastructure,Asia Pacific,Software,2023-08-01 16:55:10,JPY,635591
1886,Marketing Operations,Asia Pacific,Professional Services,2023-08-01 23:35:24,GBP,150356
5474,Human Resources,North America,Advertising,2023-08-03 19:54:37,EUR,320440
1415,Finance,Asia Pacific,Advertising,2023-08-01 15:45:47,SGD,357533
8936,IT Infrastructure,Asia Pacific,Software,2023-08-02 02:00:16,ARS,561641
7254,Sales Operations,North America,Salaries,2023-08-03 00:06:51,EUR,950638
4841,Marketing Operations,Asia Pacific,Benefits,2023-08-03 05:01:52,ARS,53952
2197,Finance,Asia Pacific,Salaries,2023-08-02 07:02:08,EUR,630660
6131,Human Resources,Europe,Software,2023-08-01 01:10:00,BRL,471589
7580,Finance,North America,Advertising,2023-08-02 22:22:47,SGD,914033
9009,IT Infrastructure,South America,Hardware,2023-08-03 16:57:26,ARS,130264
6291,Finance,North America,Supplies,2023-08-02 02:19:01,GBP,224949
9755,Marketing Operations,Europe,Travel,2023-08-02 05:24:02,ARS,618325
3693,Finance,Asia Pacific,Travel,2023-08-03 08:07:04,SGD,953994
1433,Finance,North America,Travel,2023-08-01 14:27:37,ARS,884396
9350,IT Infrastructure,North America,Commissions,2023-08-01 21:49:35,USD,835158
7225,Research & Development,North America,Software,2023-08-02 10:50:16,JPY,655733
7973,Sales Operations,North America,Hardware,2023-08-01 01:38:54,SGD,226998
9989,Sales Operations,North America,Benefits,2023-08-02 05:13:05,JPY,907157
9003,Human Resources,North America,Benefits,2023-08-03 20:35:03,ARS,998229
1118,Research & Development,Europe,Software,2023-08-01 01:37:41,SGD,107229
2752,Finance,Europe,Hardware,2023-08-02 08:58:27,JPY,135006
6670,IT Infrastructure,South America,Benefits,2023-08-02 21:00:41,USD,156822
6847,Human Resources,Asia Pacific,Professional Services,2023-08-02 08:57:40,ARS,149345
2272,Finance,Asia Pacific,Software,2023-08-01 17:25:47,USD,9474
6406,Finance,North America,Benefits,2023-08-01 21:38:41,EUR,234511
